day,ticker,rk,nbar,open0,g40,g45,g50,g00,pos40,pos50,pos00,traj,g_early,g_late,accel,vwap_dist,mins_since_hi,dd_from_hi,pullbacks,diff45,diff00,widen,dvol_acc,fwd,hit,fade,last_tod,nwbars,_b,_dd
2025-06-16,CCCMW,2,134,2.25,0.0933333333333332,0.0711111111111111,0.0711111111111111,0.0933333333333332,1.0,3.0,2.0,stable,0.0711111111111111,0.0207468879668049,-0.0503642231443062,0.0523655736987049,20,0.0,1,-0.0680017921146953,-0.1486021505376344,-0.0806003584229391,-0.9965910834105074,0.0162601626016261,1,0,1199,10,T2-mid,0-2%
2025-06-16,FTRK,3,122,4.6,0.0195652173913045,0.032608695652174,0.0434782608695651,0.0869565217391306,14.0,6.0,3.0,rising,0.032608695652174,0.0526315789473683,0.0200228832951943,0.0340394197965387,5,-0.0384615384615385,1,-0.1065042075736324,-0.1549789621318371,-0.0484747545582047,3.7756805242940032,0.1999999999999999,1,0,1199,19,T1-lo,2-5%
2025-06-16,KNW,4,197,3.45,0.0666666666666666,0.0927536231884058,0.0869565217391303,0.0869565217391303,3.0,2.0,4.0,stable,0.0927536231884058,-0.0053050397877983,-0.0980586629762042,0.0158124991077788,11,-0.0170380078636959,0,-0.0463592800374006,-0.1549789621318373,-0.1086196820944367,0.130013752934812,-0.0373333333333333,0,1,1199,28,T3-hi,0-2%
2025-06-16,XTIA,5,263,2.58,0.001937984496124,-0.0116279069767443,-0.0155038759689922,0.0775193798449611,40.0,50.0,5.0,rising,-0.0116279069767443,0.0901960784313724,0.1018239854081167,0.0603328554115494,5,-0.024561403508772,1,-0.1507408102025508,-0.1644161040260066,-0.0136752938234557,-0.1851708542069287,-0.0179856115107912,0,1,1199,31,T1-lo,2-5%
2025-06-27,WFF,1,252,8.93,0.1623740201567749,0.0481522956326987,0.0347144456886898,0.2855543113101904,1.0,19.0,1.0,stable,0.0481522956326987,0.2264957264957265,0.1783434308630278,0.0971678988392668,2,-0.0271186440677966,2,-0.090288564582355,0.1269521607725561,0.2172407253549111,1.2228358054357913,-0.7160278745644599,0,1,1187,31,T2-mid,2-5%
2025-06-27,LCFY,2,330,7.44,0.079301075268817,0.1384408602150537,0.2016129032258062,0.1586021505376342,2.0,1.0,2.0,stable,0.1384408602150537,0.0177095631641084,-0.1207312970509453,0.0115609287490336,11,-0.0810234541577826,1,0.047671629445823,-0.1269521607725561,-0.1746237902183791,0.2018037792770077,-0.0498839907192575,0,1,1199,31,T3-hi,5-10%
2025-06-27,SERA,3,173,2.18,0.0321100917431191,0.0412844036697246,0.0871559633027523,0.1055045871559632,10.0,3.0,3.0,rising,0.0412844036697246,0.0616740088105727,0.020389605140848,-0.0164637941991662,1,-0.0905660377358489,0,-0.0971564565453291,-0.1800497241542271,-0.082893267608898,9.447005319590533,0.6556016597510372,1,0,1199,20,T2-mid,5-10%
2025-06-27,LGHL,4,148,2.73,0.0146520146520146,0.0329670329670328,0.0512820512820513,0.0805860805860807,22.0,5.0,4.0,rising,0.0329670329670328,0.046099290780142,0.0131322578131092,0.0271058123097147,2,-0.0067340067340067,0,-0.1054738272480209,-0.2049682307241096,-0.0994944034760887,4.690443699223197,0.0101694915254235,1,0,1199,15,T1-lo,0-2%
2025-06-27,ARAI,5,115,9.93,-0.0181268882175226,0.0563947633434038,0.0483383685800604,0.0654582074521652,50.0,8.0,5.0,rising,0.0563947633434038,0.0085795996186843,-0.0478151637247195,0.0289473507453803,1,0.0,0,-0.0820460968716498,-0.2200961038580251,-0.1380500069863752,0.0839369987986786,-0.0075614366729678,0,1,1199,18,T2-mid,0-2%
2025-07-02,SCAG,1,140,5.072,0.0449526813880125,0.0350946372239746,0.0252365930599369,0.1593059936908516,8.0,26.0,1.0,rising,0.0350946372239746,0.1199999999999998,0.0849053627760252,0.0561985873009405,2,-0.028099173553719,1,-0.0272056822648434,0.0481948825797404,0.0754005648445839,3.991469443061568,-0.0799319727891155,0,1,1199,21,T1-lo,2-5%
